1,hana,2017-06-20T10:17:33.206+09:00[Asia/Tokyo],yosakoi,blue
2,yaya,2017-06-20T11:17:33.206+09:00[Asia/Tokyo],guitar,red
3,machi,2017-06-20T12:17:33.206+09:00[Asia/Tokyo],study,yellow
4,a,2017-06-20T14:59:52.429+09:00[Asia/Tokyo],b,cc
5,hana,2017-06-20T15:07:33.206+09:00[Asia/Tokyo],yosakoi,blue
6,hana,2017-06-20T15:17:33.206+09:00[Asia/Tokyo],yosakoiA,blue
7,a,2017-06-22T20:07:15.877+09:00[Asia/Tokyo],b,c
8,a,2017-06-22T20:08:40.931+09:00[Asia/Tokyo],b,cc
9,a,2017-06-22T20:09:21.234+09:00[Asia/Tokyo],b,dd
10,a,2017-06-22T20:10:21.801+09:00[Asia/Tokyo],b,f
11,a,2017-06-22T20:13:37.456+09:00[Asia/Tokyo],b,c
12,a,2017-06-22T20:14:51.269+09:00[Asia/Tokyo],b,c
13,a,2017-06-22T20:18:34.615+09:00[Asia/Tokyo],b,c
14,kani,2017-06-22T20:19:16.484+09:00[Asia/Tokyo],a,b
